Jurisdiction,Year,Fuel,Unit,Quantity
NSW,2015-16,Hydro,GWh,3170.201
NSW,2015-16,Large-scale solar PV,GWh,399.511
NSW,2015-16,Natural gas,GWh,4628.561
NSW,2015-16,Oil products,GWh,289.533
NSW,2015-16,Other,GWh,
NSW,2015-16,Small-scale solar PV,GWh,1461.945
NSW,2015-16,Total,GWh,68229.377
NSW,2015-16,Total non-renewable,GWh,60252.593
NSW,2015-16,Total renewable,GWh,7976.784
NSW,2015-16,Wind,GWh,1898.787
NSW,2016-17,"Bagasse, wood",GWh,696.468
NSW,2016-17,Biogas,GWh,406.21
NSW,2016-17,Black coal,GWh,55967.139
NSW,2016-17,Brown coal,GWh,
NSW,2016-17,Geothermal,GWh,
NSW,2016-17,Hydro,GWh,3290.647
NSW,2016-17,Large-scale solar PV,GWh,567.558
NSW,2016-17,Natural gas,GWh,3330.808
NSW,2016-17,Oil products,GWh,321.55
NSW,2016-17,Other,GWh,
NSW,2016-17,Small-scale solar PV,GWh,1706.84
NSW,2016-17,Total,GWh,68159.247
NSW,2016-17,Total non-renewable,GWh,59619.497
NSW,2016-17,Total renewable,GWh,8539.75
NSW,2016-17,Wind,GWh,1872.027
NSW,2017-18,"Bagasse, wood",GWh,764.985
NSW,2017-18,Biogas,GWh,424.375
NSW,2017-18,Black coal,GWh,57022.151
NSW,2017-18,Brown coal,GWh,
NSW,2017-18,Geothermal,GWh,
NSW,2017-18,Hydro,GWh,2915.519
NSW,2017-18,Large-scale solar PV,GWh,699.96
NSW,2017-18,Natural gas,GWh,3045.834
NSW,2017-18,Oil products,GWh,324.365
NSW,2017-18,Other,GWh,
NSW,2017-18,Small-scale solar PV,GWh,2095.805
NSW,2017-18,Total,GWh,69724.622
NSW,2017-18,Total non-renewable,GWh,60392.35
NSW,2017-18,Total renewable,GWh,9332.272
NSW,2017-18,Wind,GWh,2431.628
NSW,2018-19,"Bagasse, wood",GWh,758.832
NSW,2018-19,Biogas,GWh,418.791
NSW,2018-19,Black coal,GWh,57734.932
NSW,2018-19,Brown coal,GWh,
NSW,2018-19,Geothermal,GWh,
NSW,2018-19,Hydro,GWh,2160.284
NSW,2018-19,Large-scale solar PV,GWh,1348.238
NSW,2018-19,Natural gas,GWh,2360.324
NSW,2018-19,Oil products,GWh,322.563
NSW,2018-19,Other,GWh,
NSW,2018-19,Small-scale solar PV,GWh,2717.095
NSW,2018-19,Total,GWh,71560.795
NSW,2018-19,Total non-renewable,GWh,60417.819
NSW,2018-19,Total renewable,GWh,11142.976
NSW,2018-19,Wind,GWh,3739.737
NSW,2019-20,"Bagasse, wood",GWh,716.2
NSW,2019-20,Biogas,GWh,387.435
NSW,2019-20,Black coal,GWh,53566.67
NSW,2019-20,Brown coal,GWh,
NSW,2019-20,Geothermal,GWh,
NSW,2019-20,Hydro,GWh,2110.053
NSW,2019-20,Large-scale solar PV,GWh,2084.569
NSW,2019-20,Natural gas,GWh,2870.937
NSW,2019-20,Oil products,GWh,337.29
NSW,2019-20,Other,GWh,
NSW,2019-20,Small-scale solar PV,GWh,3417.322
NSW,2019-20,Total,GWh,70064.736
NSW,2019-20,Total non-renewable,GWh,56774.898
NSW,2019-20,Total renewable,GWh,13289.838
NSW,2019-20,Wind,GWh,4574.26
NSW,2020-21,"Bagasse, wood",GWh,686.098
NSW,2020-21,Biogas,GWh,411.044
NSW,2020-21,Black coal,GWh,50790.813
NSW,2020-21,Brown coal,GWh,
NSW,2020-21,Geothermal,GWh,
NSW,2020-21,Hydro,GWh,2964.239
NSW,2020-21,Large-scale solar PV,GWh,3368.02
NSW,2020-21,Natural gas,GWh,1903.206
NSW,2020-21,Oil products,GWh,340.577
NSW,2020-21,Other,GWh,
NSW,2020-21,Small-scale solar PV,GWh,4892.915
NSW,2020-21,Total,GWh,70162.827
NSW,2020-21,Total non-renewable,GWh,53034.595
NSW,2020-21,Total renewable,GWh,17128.232
NSW,2020-21,Wind,GWh,4805.916
NSW,2021-22,"Bagasse, wood",GWh,568.338
NSW,2021-22,Biogas,GWh,398.533
NSW,2021-22,Black coal,GWh,46958.795
NSW,2021-22,Brown coal,GWh,
NSW,2021-22,Geothermal,GWh,
NSW,2021-22,Hydro,GWh,3315.522
NSW,2021-22,Large-scale solar PV,GWh,5014.413
NSW,2021-22,Natural gas,GWh,3210.705
NSW,2021-22,Oil products,GWh,458.081
NSW,2021-22,Other,GWh,
NSW,2021-22,Small-scale solar PV,GWh,6201.341
NSW,2021-22,Total,GWh,72099.158
NSW,2021-22,Total non-renewable,GWh,50627.581
NSW,2021-22,Total renewable,GWh,21471.577
NSW,2021-22,Wind,GWh,5973.429
NT,2008-09,"Bagasse, wood",GWh,
NT,2008-09,Biogas,GWh,9.2
NT,2008-09,Black coal,GWh,
NT,2008-09,Brown coal,GWh,
NT,2008-09,Geothermal,GWh,
NT,2008-09,Hydro,GWh,
NT,2008-09,Large-scale solar PV,GWh,
NT,2008-09,Natural gas,GWh,1873.4
NT,2008-09,Oil products,GWh,1039.3
NT,2008-09,Other,GWh,
NT,2008-09,Small-scale solar PV,GWh,0.5
NT,2008-09,Total,GWh,2922.4
NT,2008-09,Total non-renewable,GWh,2912.7
NT,2008-09,Total renewable,GWh,9.7
NT,2008-09,Wind,GWh,
NT,2009-10,"Bagasse, wood",GWh,
NT,2009-10,Biogas,GWh,9.2
NT,2009-10,Black coal,GWh,
NT,2009-10,Brown coal,GWh,
NT,2009-10,Geothermal,GWh,
NT,2009-10,Hydro,GWh,
NT,2009-10,Large-scale solar PV,GWh,
NT,2009-10,Natural gas,GWh,2132.5
NT,2009-10,Oil products,GWh,1118.2
NT,2009-10,Other,GWh,2.4
NT,2009-10,Small-scale solar PV,GWh,4.3
NT,2009-10,Total,GWh,3266.6
NT,2009-10,Total non-renewable,GWh,3253.1
NT,2009-10,Total renewable,GWh,13.5
NT,2009-10,Wind,GWh,
NT,2010-11,"Bagasse, wood",GWh,
NT,2010-11,Biogas,GWh,8.7
NT,2010-11,Black coal,GWh,
NT,2010-11,Brown coal,GWh,
NT,2010-11,Geothermal,GWh,
NT,2010-11,Hydro,GWh,
NT,2010-11,Large-scale solar PV,GWh,
NT,2010-11,Natural gas,GWh,2053.6
NT,2010-11,Oil products,GWh,1022.5
NT,2010-11,Other,GWh,0.5
NT,2010-11,Small-scale solar PV,GWh,5.6
NT,2010-11,Total,GWh,3090.9
NT,2010-11,Total non-renewable,GWh,3076.6
NT,2010-11,Total renewable,GWh,14.3
NT,2010-11,Wind,GWh,
NT,2011-12,"Bagasse, wood",GWh,
NT,2011-12,Biogas,GWh,7.7
NT,2011-12,Black coal,GWh,
NT,2011-12,Brown coal,GWh,
NT,2011-12,Geothermal,GWh,
NT,2011-12,Hydro,GWh,
NT,2011-12,Large-scale solar PV,GWh,
NT,2011-12,Natural gas,GWh,2109.3
NT,2011-12,Oil products,GWh,1020.9
NT,2011-12,Other,GWh,
NT,2011-12,Small-scale solar PV,GWh,9.7
NT,2011-12,Total,GWh,3147.6
NT,2011-12,Total non-renewable,GWh,3130.2
NT,2011-12,Total renewable,GWh,17.4
NT,2011-12,Wind,GWh,
NT,2012-13,"Bagasse, wood",GWh,
NT,2012-13,Biogas,GWh,6.5
NT,2012-13,Black coal,GWh,
NT,2012-13,Brown coal,GWh,
NT,2012-13,Geothermal,GWh,
NT,2012-13,Hydro,GWh,
NT,2012-13,Large-scale solar PV,GWh,
NT,2012-13,Natural gas,GWh,2269
NT,2012-13,Oil products,GWh,1022
NT,2012-13,Other,GWh,
NT,2012-13,Small-scale solar PV,GWh,16.9
NT,2012-13,Total,GWh,3314.4
NT,2012-13,Total non-renewable,GWh,3291
NT,2012-13,Total renewable,GWh,23.4
NT,2012-13,Wind,GWh,
NT,2013-14,"Bagasse, wood",GWh,
NT,2013-14,Biogas,GWh,8.9
NT,2013-14,Black coal,GWh,
NT,2013-14,Brown coal,GWh,
NT,2013-14,Geothermal,GWh,
NT,2013-14,Hydro,GWh,
NT,2013-14,Large-scale solar PV,GWh,5.058
NT,2013-14,Natural gas,GWh,2308.9
NT,2013-14,Oil products,GWh,1123.6
NT,2013-14,Other,GWh,
NT,2013-14,Small-scale solar PV,GWh,19.357
NT,2013-14,Total,GWh,3465.815
NT,2013-14,Total non-renewable,GWh,3432.5
NT,2013-14,Total renewable,GWh,33.315
NT,2013-14,Wind,GWh,
NT,2014-15,"Bagasse, wood",GWh,
NT,2014-15,Biogas,GWh,9
NT,2014-15,Black coal,GWh,
NT,2014-15,Brown coal,GWh,
NT,2014-15,Geothermal,GWh,
NT,2014-15,Hydro,GWh,
NT,2014-15,Large-scale solar PV,GWh,6.405
NT,2014-15,Natural gas,GWh,2201.4
NT,2014-15,Oil products,GWh,751.3
NT,2014-15,Other,GWh,
NT,2014-15,Small-scale solar PV,GWh,28.899
NT,2014-15,Total,GWh,2997.004
NT,2014-15,Total non-renewable,GWh,2952.7
NT,2014-15,Total renewable,GWh,44.304
NT,2014-15,Wind,GWh,
NT,2015-16,"Bagasse, wood",GWh,
NT,2015-16,Biogas,GWh,7.688
NT,2015-16,Black coal,GWh,
NT,2015-16,Brown coal,GWh,
NT,2015-16,Geothermal,GWh,
NT,2015-16,Hydro,GWh,
NT,2015-16,Large-scale solar PV,GWh,8.515
NT,2015-16,Natural gas,GWh,2484.714
NT,2015-16,Oil products,GWh,522.63
NT,2015-16,Other,GWh,
NT,2015-16,Small-scale solar PV,GWh,42.448
NT,2015-16,Total,GWh,3065.994
NT,2015-16,Total non-renewable,GWh,3007.344
NT,2015-16,Total renewable,GWh,58.65
NT,2015-16,Wind,GWh,
NT,2016-17,"Bagasse, wood",GWh,
NT,2016-17,Biogas,GWh,7.612
NT,2016-17,Black coal,GWh,
NT,2016-17,Brown coal,GWh,
NT,2016-17,Geothermal,GWh,
NT,2016-17,Hydro,GWh,
NT,2016-17,Large-scale solar PV,GWh,18.468
NT,2016-17,Natural gas,GWh,2366.493
NT,2016-17,Oil products,GWh,537.402
NT,2016-17,Other,GWh,
NT,2016-17,Small-scale solar PV,GWh,61.251
NT,2016-17,Total,GWh,2991.226
NT,2016-17,Total non-renewable,GWh,2903.895
NT,2016-17,Total renewable,GWh,87.332
NT,2016-17,Wind,GWh,
NT,2017-18,"Bagasse, wood",GWh,
NT,2017-18,Biogas,GWh,8.608
NT,2017-18,Black coal,GWh,
NT,2017-18,Brown coal,GWh,
NT,2017-18,Geothermal,GWh,
NT,2017-18,Hydro,GWh,
NT,2017-18,Large-scale solar PV,GWh,30.504
NT,2017-18,Natural gas,GWh,2437.758
NT,2017-18,Oil products,GWh,947.176
NT,2017-18,Other,GWh,
NT,2017-18,Small-scale solar PV,GWh,85.773
NT,2017-18,Total,GWh,3509.819
NT,2017-18,Total non-renewable,GWh,3384.935
NT,2017-18,Total renewable,GWh,124.885
NT,2017-18,Wind,GWh,
NT,2018-19,"Bagasse, wood",GWh,
NT,2018-19,Biogas,GWh,8.785
NT,2018-19,Black coal,GWh,
NT,2018-19,Brown coal,GWh,
NT,2018-19,Geothermal,GWh,
NT,2018-19,Hydro,GWh,
NT,2018-19,Large-scale solar PV,GWh,32.652
NT,2018-19,Natural gas,GWh,3503.228
NT,2018-19,Oil products,GWh,794.978
NT,2018-19,Other,GWh,
NT,2018-19,Small-scale solar PV,GWh,117.882
NT,2018-19,Total,GWh,4457.525
NT,2018-19,Total non-renewable,GWh,4298.205
NT,2018-19,Total renewable,GWh,159.32
NT,2018-19,Wind,GWh,
NT,2019-20,"Bagasse, wood",GWh,
NT,2019-20,Biogas,GWh,8.722
NT,2019-20,Black coal,GWh,
NT,2019-20,Brown coal,GWh,
NT,2019-20,Geothermal,GWh,
NT,2019-20,Hydro,GWh,
NT,2019-20,Large-scale solar PV,GWh,39.25
NT,2019-20,Natural gas,GWh,4285.007
NT,2019-20,Oil products,GWh,504.397
NT,2019-20,Other,GWh,
NT,2019-20,Small-scale solar PV,GWh,162.212
NT,2019-20,Total,GWh,4999.587
NT,2019-20,Total non-renewable,GWh,4789.404
NT,2019-20,Total renewable,GWh,210.183
NT,2019-20,Wind,GWh,
NT,2020-21,"Bagasse, wood",GWh,
NT,2020-21,Biogas,GWh,7.98
NT,2020-21,Black coal,GWh,
NT,2020-21,Brown coal,GWh,
NT,2020-21,Geothermal,GWh,
NT,2020-21,Hydro,GWh,
NT,2020-21,Large-scale solar PV,GWh,44.607
NT,2020-21,Natural gas,GWh,4142.973
NT,2020-21,Oil products,GWh,502.491
NT,2020-21,Other,GWh,
NT,2020-21,Small-scale solar PV,GWh,203.556
NT,2020-21,Total,GWh,4901.608
NT,2020-21,Total non-renewable,GWh,4645.465
NT,2020-21,Total renewable,GWh,256.144
NT,2020-21,Wind,GWh,
NT,2021-22,"Bagasse, wood",GWh,
NT,2021-22,Biogas,GWh,5.976
NT,2021-22,Black coal,GWh,
NT,2021-22,Brown coal,GWh,
NT,2021-22,Geothermal,GWh,
NT,2021-22,Hydro,GWh,
NT,2021-22,Large-scale solar PV,GWh,46.126
NT,2021-22,Natural gas,GWh,4561.489
NT,2021-22,Oil products,GWh,461.921
NT,2021-22,Other,GWh,
NT,2021-22,Small-scale solar PV,GWh,230.893
NT,2021-22,Total,GWh,5306.405
NT,2021-22,Total non-renewable,GWh,5023.411
NT,2021-22,Total renewable,GWh,282.994
NT,2021-22,Wind,GWh,
QLD,2008-09,"Bagasse, wood",GWh,1472.1
QLD,2008-09,Biogas,GWh,116.4
QLD,2008-09,Black coal,GWh,50882.2
QLD,2008-09,Brown coal,GWh,
QLD,2008-09,Geothermal,GWh,0.5
QLD,2008-09,Hydro,GWh,820.2
QLD,2008-09,Large-scale solar PV,GWh,
QLD,2008-09,Natural gas,GWh,9257.2
QLD,2008-09,Oil products,GWh,711.4
QLD,2008-09,Other,GWh,691.8
QLD,2008-09,Small-scale solar PV,GWh,50.8
QLD,2008-09,Total,GWh,64029.9
QLD,2008-09,Total non-renewable,GWh,61542.6
QLD,2008-09,Total renewable,GWh,2487.3
QLD,2008-09,Wind,GWh,27.3
QLD,2009-10,"Bagasse, wood",GWh,1466.5
QLD,2009-10,Biogas,GWh,81.5
QLD,2009-10,Black coal,GWh,49713.7
QLD,2009-10,Brown coal,GWh,
QLD,2009-10,Geothermal,GWh,0.5
QLD,2009-10,Hydro,GWh,572.8
QLD,2009-10,Large-scale solar PV,GWh,
QLD,2009-10,Natural gas,GWh,12020.6
QLD,2009-10,Oil products,GWh,370.7
QLD,2009-10,Other,GWh,1025.9
QLD,2009-10,Small-scale solar PV,GWh,121.3
QLD,2009-10,Total,GWh,65404.4
QLD,2009-10,Total non-renewable,GWh,63130.9
QLD,2009-10,Total renewable,GWh,2273.5
QLD,2009-10,Wind,GWh,30.9
QLD,2010-11,"Bagasse, wood",GWh,823.7
QLD,2010-11,Biogas,GWh,97
QLD,2010-11,Black coal,GWh,45864.3
QLD,2010-11,Brown coal,GWh,
QLD,2010-11,Geothermal,GWh,0.5
QLD,2010-11,Hydro,GWh,965.6
QLD,2010-11,Large-scale solar PV,GWh,
QLD,2010-11,Natural gas,GWh,14595.3
QLD,2010-11,Oil products,GWh,373.7
QLD,2010-11,Other,GWh,1038.7
QLD,2010-11,Small-scale solar PV,GWh,400.6
QLD,2010-11,Total,GWh,64186.7
QLD,2010-11,Total non-renewable,GWh,61872
QLD,2010-11,Total renewable,GWh,2314.7
QLD,2010-11,Wind,GWh,27.3
QLD,2011-12,"Bagasse, wood",GWh,1005.6
QLD,2011-12,Biogas,GWh,119.2
QLD,2011-12,Black coal,GWh,45417.3
QLD,2011-12,Brown coal,GWh,
QLD,2011-12,Geothermal,GWh,0.5
QLD,2011-12,Hydro,GWh,723.2
QLD,2011-12,Large-scale solar PV,GWh,
QLD,2011-12,Natural gas,GWh,15303.4
QLD,2011-12,Oil products,GWh,306
QLD,2011-12,Other,GWh,15.7
QLD,2011-12,Small-scale solar PV,GWh,760.3
QLD,2011-12,Total,GWh,63678.9
QLD,2011-12,Total non-renewable,GWh,61042.4
QLD,2011-12,Total renewable,GWh,2636.5
QLD,2011-12,Wind,GWh,27.7
QLD,2012-13,"Bagasse, wood",GWh,1117.8
QLD,2012-13,Biogas,GWh,121.4
QLD,2012-13,Black coal,GWh,44415.6
QLD,2012-13,Brown coal,GWh,
QLD,2012-13,Geothermal,GWh,0.5
QLD,2012-13,Hydro,GWh,684.1
QLD,2012-13,Large-scale solar PV,GWh,
QLD,2012-13,Natural gas,GWh,13909.5
QLD,2012-13,Oil products,GWh,1042.6
QLD,2012-13,Other,GWh,54.2
QLD,2012-13,Small-scale solar PV,GWh,1310.2
QLD,2012-13,Total,GWh,62686.6
QLD,2012-13,Total non-renewable,GWh,59421.9
QLD,2012-13,Total renewable,GWh,3264.7
QLD,2012-13,Wind,GWh,30.7
QLD,2013-14,"Bagasse, wood",GWh,1403
QLD,2013-14,Biogas,GWh,82.8
QLD,2013-14,Black coal,GWh,40260.7
QLD,2013-14,Brown coal,GWh,
QLD,2013-14,Geothermal,GWh,0.5
QLD,2013-14,Hydro,GWh,820.9
QLD,2013-14,Large-scale solar PV,GWh,4.013
QLD,2013-14,Natural gas,GWh,15454.3
QLD,2013-14,Oil products,GWh,959.5
QLD,2013-14,Other,GWh,
QLD,2013-14,Small-scale solar PV,GWh,1460.552
QLD,2013-14,Total,GWh,60479.965
QLD,2013-14,Total non-renewable,GWh,56674.5
QLD,2013-14,Total renewable,GWh,3805.465
QLD,2013-14,Wind,GWh,33.7
QLD,2014-15,"Bagasse, wood",GWh,1550.3
QLD,2014-15,Biogas,GWh,91.1
QLD,2014-15,Black coal,GWh,44553.8
QLD,2014-15,Brown coal,GWh,
QLD,2014-15,Geothermal,GWh,0.6
QLD,2014-15,Hydro,GWh,649.1
QLD,2014-15,Large-scale solar PV,GWh,5.928
QLD,2014-15,Natural gas,GWh,18248.5
QLD,2014-15,Oil products,GWh,1197.2
QLD,2014-15,Other,GWh,
QLD,2014-15,Small-scale solar PV,GWh,1788.021
QLD,2014-15,Total,GWh,68117.049
QLD,2014-15,Total non-renewable,GWh,63999.5
QLD,2014-15,Total renewable,GWh,4117.549
QLD,2014-15,Wind,GWh,32.5
QLD,2015-16,"Bagasse, wood",GWh,1656.281
QLD,2015-16,Biogas,GWh,115.483
QLD,2015-16,Black coal,GWh,48015.845
QLD,2015-16,Brown coal,GWh,
QLD,2015-16,Geothermal,GWh,0.215
QLD,2015-16,Hydro,GWh,491.722
QLD,2015-16,Large-scale solar PV,GWh,7.325
QLD,2015-16,Natural gas,GWh,13816.933
QLD,2015-16,Oil products,GWh,1199.072
QLD,2015-16,Other,GWh,
QLD,2015-16,Small-scale solar PV,GWh,2055.85
QLD,2015-16,Total,GWh,67387.132
QLD,2015-16,Total non-renewable,GWh,63031.85
QLD,2015-16,Total renewable,GWh,4355.282
QLD,2015-16,Wind,GWh,28.406
QLD,2016-17,"Bagasse, wood",GWh,1291.767
QLD,2016-17,Biogas,GWh,118.269
QLD,2016-17,Black coal,GWh,51042.664
QLD,2016-17,Brown coal,GWh,
QLD,2016-17,Geothermal,GWh,0.502
QLD,2016-17,Hydro,GWh,672.206
QLD,2016-17,Large-scale solar PV,GWh,34.087
QLD,2016-17,Natural gas,GWh,12236.552
QLD,2016-17,Oil products,GWh,1215.94
QLD,2016-17,Other,GWh,
QLD,2016-17,Small-scale solar PV,GWh,2335.873
QLD,2016-17,Total,GWh,68976.822
QLD,2016-17,Total non-renewable,GWh,64495.156
QLD,2016-17,Total renewable,GWh,4481.666
QLD,2016-17,Wind,GWh,28.962
QLD,2017-18,"Bagasse, wood",GWh,1252.897
QLD,2017-18,Biogas,GWh,126.496
QLD,2017-18,Black coal,GWh,53635.267
QLD,2017-18,Brown coal,GWh,
QLD,2017-18,Geothermal,GWh,
QLD,2017-18,Hydro,GWh,646.115
QLD,2017-18,Large-scale solar PV,GWh,171.467
QLD,2017-18,Natural gas,GWh,11045.53
QLD,2017-18,Oil products,GWh,1047.661
QLD,2017-18,Other,GWh,
QLD,2017-18,Small-scale solar PV,GWh,2760.859
QLD,2017-18,Total,GWh,70716.566
QLD,2017-18,Total non-renewable,GWh,65728.457
QLD,2017-18,Total renewable,GWh,4988.108
QLD,2017-18,Wind,GWh,30.274
QLD,2018-19,"Bagasse, wood",GWh,1157.937
QLD,2018-19,Biogas,GWh,175.075
QLD,2018-19,Black coal,GWh,52120.624
QLD,2018-19,Brown coal,GWh,
QLD,2018-19,Geothermal,GWh,
QLD,2018-19,Hydro,GWh,1057.306
QLD,2018-19,Large-scale solar PV,GWh,1491.654
QLD,2018-19,Natural gas,GWh,9933.923
QLD,2018-19,Oil products,GWh,1000.586
QLD,2018-19,Other,GWh,
QLD,2018-19,Small-scale solar PV,GWh,3330.242
QLD,2018-19,Total,GWh,70666.485
QLD,2018-19,Total non-renewable,GWh,63055.133
QLD,2018-19,Total renewable,GWh,7611.353
QLD,2018-19,Wind,GWh,399.139
QLD,2019-20,"Bagasse, wood",GWh,1029.768
QLD,2019-20,Biogas,GWh,189.207
QLD,2019-20,Black coal,GWh,48568.909
QLD,2019-20,Brown coal,GWh,
QLD,2019-20,Geothermal,GWh,
QLD,2019-20,Hydro,GWh,634.622
QLD,2019-20,Large-scale solar PV,GWh,3334.52
QLD,2019-20,Natural gas,GWh,11214.11
QLD,2019-20,Oil products,GWh,983.736
QLD,2019-20,Other,GWh,
QLD,2019-20,Small-scale solar PV,GWh,4120.237
QLD,2019-20,Total,GWh,71003.001
QLD,2019-20,Total non-renewable,GWh,60766.756
QLD,2019-20,Total renewable,GWh,10236.245
QLD,2019-20,Wind,GWh,927.89
QLD,2020-21,"Bagasse, wood",GWh,1076.402
QLD,2020-21,Biogas,GWh,198.522
QLD,2020-21,Black coal,GWh,46248.188
QLD,2020-21,Brown coal,GWh,
QLD,2020-21,Geothermal,GWh,na
QLD,2020-21,Hydro,GWh,950.198
QLD,2020-21,Large-scale solar PV,GWh,3395.78
QLD,2020-21,Natural gas,GWh,10324.408
QLD,2020-21,Oil products,GWh,1034.935
QLD,2020-21,Other,GWh,
QLD,2020-21,Small-scale solar PV,GWh,5160.929
QLD,2020-21,Total,GWh,70215.406
QLD,2020-21,Total non-renewable,GWh,57607.532
QLD,2020-21,Total renewable,GWh,12607.874
QLD,2020-21,Wind,GWh,1826.044
QLD,2021-22,"Bagasse, wood",GWh,990.274
QLD,2021-22,Biogas,GWh,223.491
QLD,2021-22,Black coal,GWh,44460.898
QLD,2021-22,Brown coal,GWh,
QLD,2021-22,Geothermal,GWh,
QLD,2021-22,Hydro,GWh,1118.899
QLD,2021-22,Large-scale solar PV,GWh,3766.083
QLD,2021-22,Natural gas,GWh,9505.386
QLD,2021-22,Oil products,GWh,1098.305
QLD,2021-22,Other,GWh,
QLD,2021-22,Small-scale solar PV,GWh,6219.647
QLD,2021-22,Total,GWh,69233.112
QLD,2021-22,Total non-renewable,GWh,55064.589
QLD,2021-22,Total renewable,GWh,14168.523
QLD,2021-22,Wind,GWh,1850.128
SA,2008-09,"Bagasse, wood",GWh,
SA,2008-09,Biogas,GWh,86.1
SA,2008-09,Black coal,GWh,
SA,2008-09,Brown coal,GWh,4887.4
SA,2008-09,Geothermal,GWh,
SA,2008-09,Hydro,GWh,4.1
SA,2008-09,Large-scale solar PV,GWh,
SA,2008-09,Natural gas,GWh,7371.4
SA,2008-09,Oil products,GWh,63.2
SA,2008-09,Other,GWh,337.4
SA,2008-09,Small-scale solar PV,GWh,23.4
SA,2008-09,Total,GWh,14793.2
SA,2008-09,Total non-renewable,GWh,12659.4
SA,2008-09,Total renewable,GWh,2133.8
SA,2008-09,Wind,GWh,2020.2
SA,2009-10,"Bagasse, wood",GWh,
SA,2009-10,Biogas,GWh,85.5
SA,2009-10,Black coal,GWh,
SA,2009-10,Brown coal,GWh,4526.6
SA,2009-10,Geothermal,GWh,
SA,2009-10,Hydro,GWh,4.2
SA,2009-10,Large-scale solar PV,GWh,
SA,2009-10,Natural gas,GWh,6937
SA,2009-10,Oil products,GWh,163.9
SA,2009-10,Other,GWh,335.4
SA,2009-10,Small-scale solar PV,GWh,50.7
SA,2009-10,Total,GWh,14132.3
SA,2009-10,Total non-renewable,GWh,11962.9
SA,2009-10,Total renewable,GWh,2169.4
SA,2009-10,Wind,GWh,2029
SA,2010-11,"Bagasse, wood",GWh,
SA,2010-11,Biogas,GWh,77.8
SA,2010-11,Black coal,GWh,
SA,2010-11,Brown coal,GWh,4231.6
SA,2010-11,Geothermal,GWh,
SA,2010-11,Hydro,GWh,4.1
SA,2010-11,Large-scale solar PV,GWh,
SA,2010-11,Natural gas,GWh,6693.1
SA,2010-11,Oil products,GWh,89.3
SA,2010-11,Other,GWh,266.9
SA,2010-11,Small-scale solar PV,GWh,182.8
SA,2010-11,Total,GWh,14435.9
SA,2010-11,Total non-renewable,GWh,11280.9
SA,2010-11,Total renewable,GWh,3155
SA,2010-11,Wind,GWh,2890.3
SA,2011-12,"Bagasse, wood",GWh,
SA,2011-12,Biogas,GWh,70.6
SA,2011-12,Black coal,GWh,
SA,2011-12,Brown coal,GWh,3008
SA,2011-12,Geothermal,GWh,
SA,2011-12,Hydro,GWh,4.4
SA,2011-12,Large-scale solar PV,GWh,
SA,2011-12,Natural gas,GWh,6703.2
SA,2011-12,Oil products,GWh,97.8
SA,2011-12,Other,GWh,
SA,2011-12,Small-scale solar PV,GWh,398.1
SA,2011-12,Total,GWh,13408.628
SA,2011-12,Total non-renewable,GWh,9809
SA,2011-12,Total renewable,GWh,3599.628
SA,2011-12,Wind,GWh,3126.528
SA,2012-13,"Bagasse, wood",GWh,
SA,2012-13,Biogas,GWh,72.6
SA,2012-13,Black coal,GWh,
SA,2012-13,Brown coal,GWh,2237.5
SA,2012-13,Geothermal,GWh,
SA,2012-13,Hydro,GWh,5.9
SA,2012-13,Large-scale solar PV,GWh,
SA,2012-13,Natural gas,GWh,7060.9
SA,2012-13,Oil products,GWh,141
SA,2012-13,Other,GWh,8.5
SA,2012-13,Small-scale solar PV,GWh,558.6
SA,2012-13,Total,GWh,13398.5
SA,2012-13,Total non-renewable,GWh,9447.9
SA,2012-13,Total renewable,GWh,3950.6
SA,2012-13,Wind,GWh,3313.5
SA,2013-14,"Bagasse, wood",GWh,
SA,2013-14,Biogas,GWh,80.9
SA,2013-14,Black coal,GWh,
SA,2013-14,Brown coal,GWh,2098.5
SA,2013-14,Geothermal,GWh,
SA,2013-14,Hydro,GWh,5.9
SA,2013-14,Large-scale solar PV,GWh,1.385
SA,2013-14,Natural gas,GWh,5998.1
SA,2013-14,Oil products,GWh,106.9
SA,2013-14,Other,GWh,
SA,2013-14,Small-scale solar PV,GWh,677.943
SA,2013-14,Total,GWh,13119.965
SA,2013-14,Total non-renewable,GWh,8203.5
SA,2013-14,Total renewable,GWh,4916.465
SA,2013-14,Wind,GWh,4150.337
SA,2014-15,"Bagasse, wood",GWh,
SA,2014-15,Biogas,GWh,84.9
SA,2014-15,Black coal,GWh,
SA,2014-15,Brown coal,GWh,2633.6
SA,2014-15,Geothermal,GWh,
SA,2014-15,Hydro,GWh,10.8
SA,2014-15,Large-scale solar PV,GWh,1.722
SA,2014-15,Natural gas,GWh,5003.849
SA,2014-15,Oil products,GWh,197.3
SA,2014-15,Other,GWh,
SA,2014-15,Small-scale solar PV,GWh,802.239
SA,2014-15,Total,GWh,13026.311
SA,2014-15,Total non-renewable,GWh,7834.749
SA,2014-15,Total renewable,GWh,5191.562
SA,2014-15,Wind,GWh,4291.901
SA,2015-16,"Bagasse, wood",GWh,
SA,2015-16,Biogas,GWh,94.596
SA,2015-16,Black coal,GWh,
SA,2015-16,Brown coal,GWh,2593.675
SA,2015-16,Geothermal,GWh,
SA,2015-16,Hydro,GWh,6.481
