Jurisdiction,Year,Fuel,Unit,Quantity
AUS,1997-98,Natural gas,GWh,12934
AUS,1997-98,Oil products,GWh,1821
AUS,1997-98,Other,GWh,
AUS,1997-98,Small-scale solar PV,GWh,33.5
AUS,1997-98,Total,GWh,195161
AUS,1997-98,Total non-renewable,GWh,178357.5
AUS,1997-98,Total renewable,GWh,16803.5
AUS,1997-98,Wind,GWh,8
AUS,1998-99,"Bagasse, wood",GWh,674
AUS,1998-99,Biogas,GWh,459
AUS,1998-99,Black coal,GWh,118586.3
AUS,1998-99,Brown coal,GWh,49703
AUS,1998-99,Geothermal,GWh,
AUS,1998-99,Hydro,GWh,16563
AUS,1998-99,Large-scale solar PV,GWh,
AUS,1998-99,Natural gas,GWh,16001
AUS,1998-99,Oil products,GWh,1729
AUS,1998-99,Other,GWh,
AUS,1998-99,Small-scale solar PV,GWh,37.7
AUS,1998-99,Total,GWh,203781
AUS,1998-99,Total non-renewable,GWh,186019.3
AUS,1998-99,Total renewable,GWh,17761.7
AUS,1998-99,Wind,GWh,28
AUS,1999-00,"Bagasse, wood",GWh,685
AUS,1999-00,Biogas,GWh,449
AUS,1999-00,Black coal,GWh,123833.5
AUS,1999-00,Brown coal,GWh,50200
AUS,1999-00,Geothermal,GWh,
AUS,1999-00,Hydro,GWh,16720
AUS,1999-00,Large-scale solar PV,GWh,
AUS,1999-00,Natural gas,GWh,16245
AUS,1999-00,Oil products,GWh,1784
AUS,1999-00,Other,GWh,
AUS,1999-00,Small-scale solar PV,GWh,43.5
AUS,1999-00,Total,GWh,210018
AUS,1999-00,Total non-renewable,GWh,192062.5
AUS,1999-00,Total renewable,GWh,17955.5
AUS,1999-00,Wind,GWh,58
AUS,2000-01,"Bagasse, wood",GWh,633
AUS,2000-01,Biogas,GWh,12
AUS,2000-01,Black coal,GWh,134264
AUS,2000-01,Brown coal,GWh,52223
AUS,2000-01,Geothermal,GWh,
AUS,2000-01,Hydro,GWh,16933
AUS,2000-01,Large-scale solar PV,GWh,
AUS,2000-01,Natural gas,GWh,17271
AUS,2000-01,Oil products,GWh,2044
AUS,2000-01,Other,GWh,
AUS,2000-01,Small-scale solar PV,GWh,50
AUS,2000-01,Total,GWh,223640
AUS,2000-01,Total non-renewable,GWh,205802
AUS,2000-01,Total renewable,GWh,17838
AUS,2000-01,Wind,GWh,210
AUS,2001-02,"Bagasse, wood",GWh,669
AUS,2001-02,Biogas,GWh,281
AUS,2001-02,Black coal,GWh,116774.7
AUS,2001-02,Brown coal,GWh,56493
AUS,2001-02,Geothermal,GWh,
AUS,2001-02,Hydro,GWh,16054
AUS,2001-02,Large-scale solar PV,GWh,
AUS,2001-02,Natural gas,GWh,31730
AUS,2001-02,Oil products,GWh,2446
AUS,2001-02,Other,GWh,
AUS,2001-02,Small-scale solar PV,GWh,58.3
AUS,2001-02,Total,GWh,224870
AUS,2001-02,Total non-renewable,GWh,207443.7
AUS,2001-02,Total renewable,GWh,17426.3
AUS,2001-02,Wind,GWh,364
AUS,2002-03,"Bagasse, wood",GWh,826.6
AUS,2002-03,Biogas,GWh,757
