Jurisdiction,Year,Fuel,Unit,Quantity
NSW,2016,Total,GWh,67126.002
NSW,2016,Total non-renewable,GWh,57961.691
NSW,2016,Total renewable,GWh,9164.311
NSW,2016,Wind,GWh,2064.486
NSW,2017,Biomass,GWh,1134.505
NSW,2017,Black coal,GWh,57461.861
NSW,2017,Brown coal,GWh,
NSW,2017,Geothermal,GWh,
NSW,2017,Hydro,GWh,2271.424
NSW,2017,Large-scale solar PV,GWh,633.473
NSW,2017,Natural gas,GWh,3882.369
NSW,2017,Oil products,GWh,329.136
NSW,2017,Small-scale solar PV,GWh,1876.089
NSW,2017,Total,GWh,69533.777
NSW,2017,Total non-renewable,GWh,61673.365
NSW,2017,Total renewable,GWh,7860.412
NSW,2017,Wind,GWh,1944.92
NSW,2018,Biomass,GWh,1167.289
NSW,2018,Black coal,GWh,57245.353
NSW,2018,Brown coal,GWh,
NSW,2018,Geothermal,GWh,
NSW,2018,Hydro,GWh,3150.388
NSW,2018,Large-scale solar PV,GWh,1073.584
NSW,2018,Natural gas,GWh,2282.651
NSW,2018,Oil products,GWh,327.75
NSW,2018,Small-scale solar PV,GWh,2382.153
NSW,2018,Total,GWh,70752.345
NSW,2018,Total non-renewable,GWh,59855.753
NSW,2018,Total renewable,GWh,10896.592
NSW,2018,Wind,GWh,3123.177
NSW,2019,Biomass,GWh,1124.465
NSW,2019,Black coal,GWh,56546.18
NSW,2019,Brown coal,GWh,
NSW,2019,Geothermal,GWh,
NSW,2019,Hydro,GWh,2010.814
NSW,2019,Large-scale solar PV,GWh,1731.894
NSW,2019,Natural gas,GWh,2924.32
NSW,2019,Oil products,GWh,335.806
NSW,2019,Small-scale solar PV,GWh,2962.442
NSW,2019,Total,GWh,72035.964
NSW,2019,Total non-renewable,GWh,59806.306
NSW,2019,Total renewable,GWh,12229.658
NSW,2019,Wind,GWh,4400.043
NSW,2020,Biomass,GWh,1086.789
NSW,2020,Black coal,GWh,52454.7
NSW,2020,Brown coal,GWh,
NSW,2020,Geothermal,GWh,
NSW,2020,Hydro,GWh,2399.831
NSW,2020,Large-scale solar PV,GWh,2603.635
NSW,2020,Natural gas,GWh,1934.844
NSW,2020,Oil products,GWh,338.689
NSW,2020,Small-scale solar PV,GWh,3974.672
NSW,2020,Total,GWh,69397.826
NSW,2020,Total non-renewable,GWh,54728.233
NSW,2020,Total renewable,GWh,14669.593
NSW,2020,Wind,GWh,4604.666
NSW,2021,Biomass,GWh,1017.082
NSW,2021,Black coal,GWh,49094.087
NSW,2021,Brown coal,GWh,
NSW,2021,Geothermal,GWh,
NSW,2021,Hydro,GWh,2952.132
NSW,2021,Large-scale solar PV,GWh,4156.722
NSW,2021,Natural gas,GWh,1947.004
NSW,2021,Oil products,GWh,400.467
NSW,2021,Small-scale solar PV,GWh,5594.185
NSW,2021,Total,GWh,70518.777
NSW,2021,Total non-renewable,GWh,51441.558
NSW,2021,Total renewable,GWh,19077.219
NSW,2021,Wind,GWh,5357.099
NSW,2022,Biomass,GWh,875.973
NSW,2022,Black coal,GWh,45975.971
NSW,2022,Brown coal,GWh,
NSW,2022,Geothermal,GWh,
NSW,2022,Hydro,GWh,3965.393
NSW,2022,Large-scale solar PV,GWh,5640.57
NSW,2022,Natural gas,GWh,3387.845
NSW,2022,Oil products,GWh,460.842
NSW,2022,Small-scale solar PV,GWh,6794.399
NSW,2022,Total,GWh,73239.89
NSW,2022,Total non-renewable,GWh,49824.658
NSW,2022,Total renewable,GWh,23415.232
NSW,2022,Wind,GWh,6138.897
NT,2015,Biomass,GWh,7.779
NT,2015,Black coal,GWh,
NT,2015,Brown coal,GWh,
NT,2015,Geothermal,GWh,
NT,2015,Hydro,GWh,
NT,2015,Large-scale solar PV,GWh,8.851
NT,2015,Natural gas,GWh,2403.715
NT,2015,Oil products,GWh,576.315
NT,2015,Small-scale solar PV,GWh,35.132
NT,2015,Total,GWh,3031.822
NT,2015,Total non-renewable,GWh,2980.03
NT,2015,Total renewable,GWh,51.792
NT,2015,Wind,GWh,
NT,2016,Biomass,GWh,8.154
NT,2016,Black coal,GWh,
NT,2016,Brown coal,GWh,
NT,2016,Geothermal,GWh,
NT,2016,Hydro,GWh,
NT,2016,Large-scale solar PV,GWh,18.73
NT,2016,Natural gas,GWh,2423.58
NT,2016,Oil products,GWh,532.057
NT,2016,Small-scale solar PV,GWh,51.548
NT,2016,Total,GWh,3034.099
NT,2016,Total non-renewable,GWh,2955.638
NT,2016,Total renewable,GWh,78.462
NT,2016,Wind,GWh,
NT,2017,Biomass,GWh,7.107
NT,2017,Black coal,GWh,
NT,2017,Brown coal,GWh,
NT,2017,Geothermal,GWh,
NT,2017,Hydro,GWh,
NT,2017,Large-scale solar PV,GWh,27.163
NT,2017,Natural gas,GWh,2402.125
NT,2017,Oil products,GWh,742.289
NT,2017,Small-scale solar PV,GWh,72.554
NT,2017,Total,GWh,3251.269
NT,2017,Total non-renewable,GWh,3144.415
NT,2017,Total renewable,GWh,106.854
NT,2017,Wind,GWh,
NT,2018,Biomass,GWh,8.287
NT,2018,Black coal,GWh,
NT,2018,Brown coal,GWh,
NT,2018,Geothermal,GWh,
NT,2018,Hydro,GWh,
NT,2018,Large-scale solar PV,GWh,31.198
NT,2018,Natural gas,GWh,2970.493
NT,2018,Oil products,GWh,871.077
NT,2018,Small-scale solar PV,GWh,100.57
