quarter,Total Demand,"GDP (AUD, Millions)","Population (000,s)",Coal_Price (PCOALAUUSDM),Premium unleaded petrol (95 RON) (cpl),Regular unleaded petrol (91 RON) (cpl),Automotive diesel (cpl),Automotive LPG (cpl),Temperature(max),Temperature(avg),Temperature(min),electricity_price,renewable_energy
2010-01-01,0.9308937883686385,0.0,0.0,0.5587739170721858,0.275,0.36363636363636365,0.23404255319148937,0.22857142857142856,0.9694915254237289,0.999015748031496,0.9717868338557994,0.30392156862745096,0.0
2010-04-01,0.8603338135876287,0.11853595180634108,0.018352354360378624,0.6327591774367187,0.35,0.4318181818181818,0.3404255319148936,0.17142857142857143,0.510734463276836,0.2795275590551181,0.17319749216300942,0.25,0.02786014279558295
2010-07-01,1.0,0.14127411064645087,0.03803301797283821,0.5643234472685902,0.25,0.3181818181818182,0.2978723404255319,0.0,0.1830508474576272,0.13582677165354337,0.1559561128526647,0.19607843137254902,0.05572028559116598
2010-10-01,0.7370696672610559,0.23288535583353293,0.056493805741549344,0.7192804422112837,0.275,0.36363636363636365,0.3191489361702128,0.2,0.6067796610169491,0.670275590551181,0.6112852664576803,0.14215686274509803,0.08358042838674894
2011-01-01,0.8582169324016309,0.12092629096737348,0.08259914879774476,1.0,0.575,0.6136363636363636,0.5957446808510638,0.5428571428571428,0.912994350282486,0.9812992125984251,0.9788401253918496,0.08823529411764706,0.11144057118233189
2011-04-01,0.8306421694855965,0.23858716678027303,0.10190029548103806,0.9074613365369685,0.725,0.75,0.7872340425531915,0.5142857142857142,0.3288135593220339,0.19980314960629933,0.16144200626959246,0.0661764705882353,0.10725744562277494
2011-07-01,0.8865519934398198,0.2674969142057073,0.12705684621431879,0.9041973147151046,0.675,0.7272727272727273,0.6808510638297872,0.42857142857142855,0.2418079096045198,0.0767716535433072,0.06426332288401257,0.04411764705882353,0.103074320063218
2011-10-01,0.7101983335146861,0.33888929828116654,0.15129171297676866,0.833333283696305,0.725,0.7272727272727273,0.7446808510638298,0.4,0.7401129943502824,0.687007874015748,0.5705329153605017,0.022058823529411766,0.09889119450366113
2012-01-01,0.7849992995969929,0.20105561798787788,0.18346932689961848,0.8074845378974582,0.775,0.7954545454545454,0.7659574468085106,0.6,0.7683615819209039,0.8848425196850396,0.8887147335423199,0.0,0.09470806894410418
2012-04-01,0.7723815534936489,0.3048258138206739,0.20857166092873244,0.5920094743999201,0.825,0.8181818181818182,0.8085106382978723,0.5428571428571428,0.4225988700564973,0.24311023622047231,0.23824451410658312,0.11437908496732026,0.12797380321619223
2012-07-01,0.7904746501392601,0.29990235994178444,0.2357884464203428,0.47925073650818156,0.675,0.6590909090909091,0.6808510638297872,0.2571428571428571,0.3288135593220339,0.10433070866141737,0.02978056426332288,0.22875816993464052,0.1612395374882802
2012-10-01,0.6210231359164883,0.376632707577237,0.2612974057307059,0.4487633854799705,0.7,0.7272727272727273,0.7659574468085106,0.6,0.8519774011299432,0.7568897637795277,0.5148902821316617,0.3431372549019608,0.19450527176036828
2013-01-01,0.7189513504589257,0.25249626941287007,0.2924720106264743,0.5440159709991562,0.75,0.7954545454545454,0.7659574468085106,0.45714285714285713,0.9536723163841808,0.9438976377952756,0.931818181818182,0.45751633986928103,0.2277710060324563
2013-04-01,0.6519393394435027,0.3517713380372506,0.3155412182493425,0.47145356696158136,0.65,0.7045454545454546,0.6808510638297872,0.2857142857142857,0.24067796610169476,0.19094488188976372,0.2319749216300941,0.43709150326797386,0.24317373586492813
2013-07-01,0.6513626932590705,0.3601812789005361,0.3405080105180411,0.3612821494168348,0.875,0.9090909090909091,0.8723404255319149,0.5428571428571428,0.34802259887005665,0.1584645669291338,0.13714733542319751,0.4166666666666667,0.2585764656973999
2013-10-01,0.5420873773517833,0.4660516571175918,0.3615440917346635,0.42174962328672655,0.85,0.8636363636363636,0.9574468085106383,0.7428571428571429,0.6429378531073446,0.6456692913385825,0.5431034482758622,0.39624183006535946,0.2739791955298717
2014-01-01,0.6576031863447221,0.33181039406053686,0.390929545392936,0.37303354015339174,1.0,1.0,1.0,1.0,0.8508474576271187,0.8966535433070866,0.8832288401253919,0.3758169934640523,0.2904077642444744
2014-04-01,0.5699564249858966,0.40946187432066466,0.4097698500908134,0.3104657323508608,0.925,0.9318181818181818,0.9361702127659575,0.6571428571428571,0.3774011299435027,0.2962598425196852,0.2750783699059562,0.3227124183006536,0.27674816859324824
2014-07-01,0.674255817456847,0.40197767174517784,0.43340833310743104,0.25241480899965363,0.8,0.8409090909090909,0.8723404255319149,0.5714285714285714,0.0915254237288138,0.03346456692913384,0.0015673981191222934,0.2696078431372549,0.26308857294202204
2014-10-01,0.5177394321990173,0.49140122694865607,0.4543901976198867,0.1887397307281089,0.55,0.5909090909090909,0.7021276595744681,0.45714285714285713,0.6621468926553671,0.71751968503937,0.5509404388714735,0.21650326797385622,0.24942897729079586
2015-01-01,0.6157197132434699,0.35668097492677,0.482935292363577,0.18968627000296964,0.15,0.22727272727272727,0.3191489361702128,0.17142857142857143,0.8033898305084743,0.8828740157480314,0.8683385579937304,0.16339869281045752,0.23576938163956965
2015-04-01,0.6160068408804907,0.4327573183987031,0.5020195722302043,0.136099346617845,0.575,0.5909090909090909,0.3829787234042553,0.14285714285714285,0.17627118644067818,0.17913385826771655,0.20689655172413793,0.21568627450980393,0.2559705534805298
2015-07-01,0.734966611526838,0.4441379119765664,0.5259562471197375,0.1348053821901568,0.525,0.5227272727272727,0.3404255319148936,0.05714285714285714,0.0,0.0,0.04702194357366776,0.2679738562091503,0.27617172532149
2015-10-01,0.5880983656330564,0.5199931836185774,0.5477242538426087,0.054240170974374446,0.3,0.3409090909090909,0.2553191489361702,0.14285714285714285,0.7457627118644068,0.7293307086614174,0.614420062695925,0.3202614379084967,0.29637289716245013
2016-01-01,0.7375774942092609,0.3830990586024576,0.5799289761175423,0.029569291582982334,0.3,0.045454545454545456,0.0,0.17142857142857143,0.8858757062146891,0.9202755905511812,0.9396551724137931,0.37254901960784315,0.31657406900341034
2016-04-01,0.6261050668135285,0.4931191392936755,0.6036487841904096,0.0403619245393609,0.075,0.20454545454545456,0.02127659574468085,0.22857142857142856,0.5129943502824857,0.3336614173228347,0.2946708463949844,0.494281045751634,0.32998396256875445
2016-07-01,0.7320484075825079,0.5015152631675909,0.6325462875111824,0.2224263514252585,0.05,0.11363636363636363,0.0851063829787234,0.14285714285714285,0.028248587570621465,0.11614173228346454,0.2084639498432603,0.6160130718954249,0.3433938561340985
2016-10-01,0.5360792037859508,0.651747388589009,0.6562932039361324,0.5681307064720518,0.225,0.29545454545454547,0.2127659574468085,0.2857142857142857,0.8067796610169491,0.68996062992126,0.4404388714733543,0.7377450980392157,0.3568037496994428
2017-01-01,0.7328231841929597,0.5292413551703175,0.690531052617312,0.42360619094356455,0.4,0.45454545454545453,0.3404255319148936,0.4857142857142857,0.9932203389830506,1.0,1.0,0.8594771241830066,0.370213643264787
2017-04-01,0.5796769759983917,0.620442696339419,0.712543034508932,0.39310215251822395,0.325,0.36363636363636365,0.2978723404255319,0.45714285714285713,0.2689265536723162,0.21653543307086626,0.23589341692789978,0.8464052287581699,0.39174942471827734
2017-07-01,0.6795543814812598,0.6315791897717433,0.7389736777901268,0.5584594289462149,0.25,0.29545454545454547,0.2553191489361702,0.4,0.29152542372881374,0.08070866141732286,0.03918495297805643,0.8333333333333334,0.41328520617176784
2017-10-01,0.5340135084274481,0.725239955048728,0.757651332375505,0.6106332851539966,0.6,0.5909090909090909,0.40425531914893614,0.6571428571428571,0.8271186440677966,0.7125984251968506,0.6402821316614422,0.8202614379084967,0.43482098762525845
2018-01-01,0.675003064807797,0.607109301597244,0.7909403887337687,0.6785886917042525,0.6,0.5909090909090909,0.5319148936170213,0.7428571428571429,0.9502824858757061,0.9291338582677167,0.9161442006269592,0.8071895424836601,0.45635676907874895
2018-04-01,0.6280244400211675,0.7311950774672538,0.8130336956816394,0.6824279087077534,0.85,0.8181818181818182,0.7446808510638298,0.6857142857142857,0.4644067796610168,0.24606299212598426,0.14733542319749218,0.8553921568627451,0.49457224616630974
2018-07-01,0.6786752627243627,0.7457259446215067,0.8412534902003311,0.8419693878868212,0.85,0.8636363636363636,0.851063829787234,0.7428571428571429,0.03728813559322054,0.03346456692913384,0.0,0.9035947712418301,0.5327877232538705
2018-10-01,0.497719087493634,0.8591219763821595,0.8625877632898693,0.6759403758957514,0.75,0.75,0.9148936170212766,0.8285714285714286,0.7559322033898306,0.6919291338582678,0.6010971786833857,0.951797385620915,0.5710032003414316
2019-01-01,0.7239668750825602,0.7226193327315267,0.894792485564803,0.590061936883622,0.45,0.4772727272727273,0.6170212765957447,0.5142857142857142,1.0,0.9793307086614172,0.9545454545454547,1.0,0.6092186774289924
2019-04-01,0.5743248537316819,0.8536182089497246,0.9137412236710128,0.39332158859395855,0.85,0.8181818181818182,0.7446808510638298,0.6285714285714286,0.39096045197740115,0.2559055118110238,0.2186520376175549,0.8897058823529411,0.6507812692946215
2019-07-01,0.6441511455411882,0.8679418212634256,0.9417441513730377,0.23187786893527904,0.775,0.7272727272727273,0.6808510638297872,0.5142857142857142,0.21694915254237304,0.08169291338582678,0.12068965517241381,0.7794117647058824,0.6923438611602506
2019-10-01,0.48107695120477223,0.956158692728579,0.9640814334896581,0.21177959909582464,0.975,0.9090909090909091,0.723404255319149,0.4857142857142857,0.8418079096045196,0.7076771653543308,0.5321316614420064,0.6691176470588235,0.73390645302588
2020-01-01,0.609635537039708,0.7980554890293104,0.9931958036270979,0.227268060848696,0.725,0.6590909090909091,0.6595744680851063,0.6571428571428571,0.8689265536723164,0.8828740157480314,0.8307210031347962,0.5588235294117647,0.7754690448915088
2020-04-01,0.5098759562753239,0.7180827545550008,0.9989698826208356,0.07293790126874049,0.0,0.0,0.1276595744680851,0.45714285714285713,0.40338983050847455,0.20078740157480324,0.1708463949843261,0.5179738562091504,0.8316017836686317
2020-07-01,0.6013966270070545,0.7985436893203883,0.9946596546395943,0.0,0.3,0.29545454545454547,0.0851063829787234,0.45714285714285713,0.15593220338983038,0.08070866141732286,0.14341692789968655,0.477124183006536,0.8877345224457547
2020-10-01,0.38499088012094035,1.0,0.9939548374854295,0.18144276988663072,0.35,0.29545454545454547,0.06382978723404255,0.42857142857142855,0.6745762711864405,0.687007874015748,0.572884012539185,0.4362745098039216,0.9438672612228773
2021-01-01,0.0,0.9137497466885283,1.0,0.4820181059490687,0.6,0.5454545454545454,0.2553191489361702,0.6285714285714286,0.7322033898305084,0.8248031496062991,0.8926332288401255,0.3954248366013072,1.0
