quarter,min,max
2010-01-01,17.287096774193547,28.0
2010-04-01,6.64,24.0
2010-07-01,6.641935483870968,20.5
2010-10-01,12.26774193548387,25.970967741935485
2011-01-01,17.35483870967742,28.792857142857144
2011-04-01,7.183333333333334,21.81
2011-07-01,6.145161290322581,20.816666666666666
2011-10-01,12.112903225806452,25.493333333333332
2012-01-01,15.790322580645162,25.770967741935483
2012-04-01,6.86,22.990000000000002
2012-07-01,5.525806451612904,21.736666666666668
2012-10-01,10.80967741935484,26.225806451612904
2013-01-01,16.551612903225806,28.05806451612903
2013-04-01,7.11,23.08
2013-07-01,5.929032258064517,24.033333333333335
2013-10-01,10.574193548387097,26.18064516129032
2014-01-01,14.73225806451613,27.135483870967743
2014-04-01,7.843333333333333,23.076666666666664
2014-07-01,5.151612903225806,20.753333333333334
2014-10-01,10.912903225806453,25.887096774193548
2015-01-01,13.338709677419354,27.187096774193552
2015-04-01,6.52,20.886666666666667
2015-07-01,4.661290322580645,19.783333333333335
2015-10-01,12.048387096774194,27.24516129032258
2016-01-01,15.674193548387096,27.79655172413793
2016-04-01,8.146666666666667,24.35
2016-07-01,7.029032258064516,20.7
2016-10-01,9.316129032258065,28.116129032258065
2017-01-01,14.992857142857144,29.638709677419353
2017-04-01,7.213333333333334,23.016666666666666
2017-07-01,4.387096774193548,23.09
2017-10-01,10.82258064516129,28.580645161290324
2018-01-01,14.458064516129031,28.91290322580645
2018-04-01,6.8933333333333335,25.85666666666667
2018-07-01,4.212903225806452,20.37
2018-10-01,10.916129032258064,27.361290322580647
2019-01-01,15.093548387096773,29.69677419354839
2019-04-01,7.473333333333333,24.16
2019-07-01,5.809677419354839,21.283333333333335
2019-10-01,10.654838709677419,27.887096774193548
2020-01-01,14.019354838709678,28.532258064516128
2020-04-01,6.736666666666666,23.896666666666665
2020-07-01,6.32258064516129,21.82
2020-10-01,10.841935483870968,25.583333333333332
2021-01-01,13.455555555555556,26.864516129032257
