quarter,oil_price
2010-01-01,78.80704918032787
2010-04-01,77.81603174603174
2010-07-01,76.06203125
2010-10-01,85.16046875
2011-01-01,94.06612903225808
2011-04-01,102.02174603174603
2011-07-01,89.49296875
2011-10-01,94.01523809523809
2012-01-01,102.9841935483871
2012-04-01,93.28873015873015
2012-07-01,92.1679365079365
2012-10-01,88.01015625
2013-01-01,94.32549999999999
2013-04-01,94.04890625
2013-07-01,105.83046875
2013-10-01,97.49671875
2014-01-01,98.67819672131148
2014-04-01,103.34682539682541
2014-07-01,97.8696875
2014-10-01,73.21125
2015-01-01,48.485245901639345
2015-04-01,57.85460317460318
2015-07-01,46.48609375
2015-10-01,41.9365625
2016-01-01,33.35180327868853
2016-04-01,45.460625
2016-07-01,44.851875
2016-10-01,49.135555555555555
2017-01-01,51.62129032258064
2017-04-01,48.103809523809524
2017-07-01,48.181774193548385
2017-10-01,55.26587301587302
2018-01-01,62.90573770491803
2018-04-01,68.06546875
2018-07-01,69.68730158730159
2018-10-01,59.96557377049181
2019-01-01,54.82311475409836
2019-04-01,59.880158730158726
2019-07-01,56.336349206349205
2019-10-01,56.84492063492063
2020-01-01,45.33516129032258
2020-04-01,27.96047619047619
2020-07-01,40.89171875
2020-10-01,42.52492063492064
2021-01-01,58.09344262295082
2021-04-01,66.18666666666667
2021-07-01,70.57546875
2021-10-01,77.32730158730159
2022-01-01,95.18032258064517
2022-04-01,108.83435483870967
2022-07-01,93.0640625
2022-10-01,82.78746031746032
2023-01-01,75.93016129032259
2023-04-01,73.53887096774193
2023-07-01,82.25031746031746
2023-10-01,78.52672131147541
2024-01-01,77.5039344262295
2024-04-01,84.54
